Date,Open,High,Low,Close,Adj Close,Volume
2010-02-22,6.15,6.16,6.15,6.16,6.16,7730.0
2010-02-23,6.16,6.2,6.16,6.19,6.19,13717.0
2010-02-24,6.17,6.22,6.16,6.18,6.18,8255.0
2010-02-25,6.18,6.18,6.1,6.17,6.17,30691.0
2010-02-26,,,,,,
2010-03-01,6.3,6.3,6.0,6.14,6.14,45575.0
2010-03-02,6.03,6.1,6.0,6.09,6.09,68241.0
2010-03-03,6.0,6.08,5.95,6.05,6.05,58905.0
2010-03-04,6.05,6.05,5.98,5.99,5.99,27197.0
2010-03-05,5.99,5.99,5.92,5.94,5.94,25452.0
2010-03-08,5.94,5.97,5.93,5.94,5.94,8719.0
2010-03-09,5.94,5.97,5.86,5.86,5.86,34902.0
2010-03-10,5.94,5.94,5.87,5.9,5.9,18766.0
2010-03-11,5.92,5.92,5.86,5.89,5.89,46425.0
2010-03-12,5.9,5.94,5.9,5.9,5.9,20651.0
2010-03-15,5.93,6.0,5.89,5.9,5.9,33170.0
2010-03-16,6.0,6.09,6.0,6.05,6.05,13460.0
2010-03-17,6.1,6.15,6.1,6.13,6.13,29938.0
2010-03-18,6.13,6.13,6.09,6.12,6.12,33814.0
2010-03-19,6.12,6.13,6.09,6.1,6.1,50794.0
2010-03-22,6.1,6.13,6.1,6.1,6.1,11477.0
2010-03-23,6.1,6.1,5.98,5.98,5.98,55746.0
2010-03-24,,,,,,
2010-03-25,5.9,5.9,5.87,5.87,5.87,8595.0
2010-03-26,5.9,5.96,5.87,5.9,5.9,10467.0
2010-03-29,5.9,5.9,5.8,5.8,5.8,71506.0
2010-03-30,5.8,5.93,5.79,5.84,5.84,30739.0
2010-03-31,5.8,5.92,5.8,5.92,5.92,21800.0
2010-04-01,5.92,5.95,5.9,5.95,5.95,10048.0
2010-04-05,5.95,6.11,5.82,5.83,5.83,24297.0
2010-04-06,5.83,5.97,5.81,5.9,5.9,25468.0
2010-04-07,5.9,5.99,5.9,5.99,5.99,10779.0
2010-04-08,6.17,6.17,6.08,6.09,6.09,37236.0
2010-04-09,,,,,,
2010-04-12,6.1,6.2,6.09,6.12,6.12,49496.0
2010-04-13,6.12,6.15,6.12,6.13,6.13,14052.0
2010-04-14,6.13,6.14,6.03,6.07,6.07,34035.0
2010-04-15,6.08,6.08,5.95,6.0,6.0,18489.0
2010-04-16,5.99,6.1,5.99,6.02,6.02,36504.0
2010-04-19,6.06,6.16,6.06,6.11,6.11,24843.0
2010-04-20,6.11,6.15,6.11,6.11,6.11,36174.0
2010-04-21,6.11,6.2,6.1,6.12,6.12,44324.0
2010-04-22,6.18,6.18,6.06,6.1,6.1,17033.0
2010-04-23,6.1,6.1,6.05,6.05,6.05,22751.0
2010-04-26,6.15,6.15,6.05,6.05,6.05,24846.0
2010-04-27,6.06,6.14,6.06,6.1,6.1,32045.0
2010-04-28,6.1,6.2,6.1,6.17,6.17,24295.0
2010-04-29,6.2,6.21,6.15,6.21,6.21,32276.0
2010-04-30,6.21,6.23,6.17,6.17,6.17,12047.0
2010-05-03,6.2,6.2,6.13,6.13,6.13,40023.0
2010-05-04,6.15,6.15,6.1,6.13,6.13,61157.0
2010-05-05,6.12,6.19,6.1,6.17,6.17,18827.0
2010-05-06,6.17,6.22,6.15,6.22,6.22,26903.0
2010-05-07,6.22,6.25,6.18,6.18,6.18,18867.0
2010-05-10,6.16,6.18,6.15,6.15,6.15,25465.0
2010-05-11,6.15,6.15,6.13,6.13,6.13,16875.0
2010-05-12,6.13,6.2,6.13,6.2,6.2,19518.0
2010-05-13,6.23,6.24,6.2,6.24,6.24,11142.0
2010-05-14,6.23,6.29,6.23,6.26,6.26,12745.0
2010-05-17,6.3,6.3,6.24,6.28,6.28,4657.0
2010-05-18,6.23,6.26,6.23,6.23,6.23,14413.0
2010-05-19,6.24,6.29,6.23,6.29,6.29,21286.0
